STATION_NUMBER,PEARSEDA,PERSEDA_CODE
10CC,Lower Mackenzie,7
10CD,Lower Mackenzie,7
10CE,Lower Mackenzie,7
10CF,Lower Mackenzie,7
10DA,Lower Mackenzie,7
10DB,Lower Mackenzie,7
10EA,Lower Mackenzie,7
10EB,Lower Mackenzie,7
10EC,Lower Mackenzie,7
10ED,Lower Mackenzie,7
10FA,Lower Mackenzie,7
10FB,Lower Mackenzie,7
10FC,Lower Mackenzie,7
10GA,Lower Mackenzie,7
10GB,Lower Mackenzie,7
10GC,Lower Mackenzie,7
10GD,Lower Mackenzie,7
10HA,Lower Mackenzie,7
10HB,Lower Mackenzie,7
10HC,Lower Mackenzie,7
10J1,Lower Mackenzie,7
10JA,Lower Mackenzie,7
