Station,OriginalDrainageArea,HasShapefile,BorderStation,GoesOutsidePDA,FinalArea,Comments
08HD005,278,Yes,,No ,278,
08HD006,1210,Yes,,No ,1210,
08HD007,439,Yes,,No ,439,
08HD011,302,Yes,,No ,302,
08HD015,268,Yes,,No ,268,
08HD018,132,Yes,,No,132,
08HD020,270,Yes,,No ,270,
08HD021,84.2,Yes,,No ,84.2,
08HE006,178,Yes,,No ,178,
08HE009,33.3,Yes,,No ,33.3,
08HF004,365,Yes,,No ,365,
08HF005,783,Yes,,No ,783,
08HF006,64.4,Yes,,No ,64.4,
08HF012,22.3,Yes,,No ,22.3,
08HF013,16.3,Yes,,No ,16.3,
08JA017,15500,Yes,,No ,15500,
08JA029,7.72,Yes,,No ,7.72,
